test,Area,Baths,Beds,Broker,City,Day,Month,Price,Price Per Area,State,Street,Year
1,900,1,2,Intero Real Estate Services,Redwood City,14,5,949950,1055.5,CA,510 Hudson St,2018
,3200,4,4,,Redwood City,14,5,3159000,987.1875,CA,3723 Jefferson Ct,2018
,2558,3,4,Sereno Group,Redwood City,14,5,2698000,1054.730258,CA,2040 Nassau Dr,2018
,742,1,2,Coldwell Banker Residential Brokerage - Los Altos,Redwood City,14,5,988000,1331.536388,CA,1233 Johnson St,2018
,1310,3,3,,Redwood City,14,5,1498000,1143.51145,CA,335 Belmont Ave,2018
,2190,3,3,Today Sotheby's International Realty,Redwood City,14,5,1675000,764.8401826,CA,2623 Eaton Ave,2018
,1390,2,3,Coldwell Banker Residential Brokerage - Cupertino,Redwood City,14,5,1498000,1077.697842,CA,522 Ruby St,2018
,3070,2,5,Pantano Properties,Redwood City,14,5,1850000,602.6058632,CA,2228 Brewster Ave,2018
,1410,2,3,Coldwell Banker Residential Brokerage - Menlo Park,Redwood City,14,5,1598000,1133.333333,CA,32 Shaw Ct,2018
,3210,4,4,Deleon Realty,Redwood City,14,5,2498000,778.1931464,CA,2111 Brewster Ave,2018
,1360,2,2,,Redwood City,14,5,838000,616.1764706,CA,1324 Woodside Rd,2018
,1448,3,3,,Redwood City,14,5,1198000,827.3480663,CA,636 Bair Island Rd UNIT 306,2018
,1200,2,2,Coldwell Banker Residential Brokerage - San Mateo-Downtown,Redwood City,14,5,1125000,937.5,CA,1603 Chelsea Way,2018
,2580,4,3,Sequoia Realty Services,Redwood City,14,5,2250000,872.0930233,CA,1635 Maddux Dr,2018
,5430,5,5,,Redwood City,14,5,4895000,901.4732965,CA,65 Black Fox Way,2018
,2440,4,5,RE/MAX Star Properties,Redwood City,14,5,1788000,732.7868852,CA,234 Santiago Ave,2018
,1441,3,3,Realty World - Hirsch & Associates,Redwood City,14,5,1695888,1176.88272,CA,659 Oak Ave,2018
,3092,4,4,,Redwood City,14,5,2990000,967.0116429,CA,1745 Hull Ave,2018
,1668,2,3,Coldwell Banker Residential Brokerage - Los Altos,Redwood City,14,5,1875000,1124.100719,CA,2424 Ohio Ave,2018
,1950,3,3,,Redwood City,14,5,1749000,896.9230769,CA,438 King St,2018
